Name,Date
4.2 (Mickledore),2023-05-03
4.1 (Langdale),2022-10-23
4.0 (Kirkstone),2022-04-27
3.4 (Honister),2021-10-25
3.3 (Hardknott),2021-04-06
3.2 (Gatesgarth),2020-10-26
3.1 (Dunfell),2020-04-21
3.0 (Zeus),2019-10-22
2.7 (Warrior),2019-05-01
2.6 (Thud),2018-11-15
2.5 (Sumo),2018-04-01
2.4 (Rocko),2017-10-26
2.3 (Pyro),2017-05-12
2.2 (Morty),2016-11-01
2.1 (Krogoth),2016-05-02
2.0 (Jethro),2015-11-03
1.8 (Fido),2015-04-09
1.7 (Dizzy),2014-10-28
1.6 (Daisy),2014-04-23
1.5 (Dora),2013-10-08
1.4 (Dylan),2013-04-18
1.3 (Danny),2012-10-22
1.2 (Denzil),2012-04-18
1.1 (Edison),2011-10-12
1.0 (Bernard),2011-05-25


